Rank,Top Stocks,Profit %,2014 Week: 30 rank,Profit %,2014 Week: 29 rank,Profit %,2014 Week: 28 rank,Profit %,2014 Week: 27 rank,Profit %,2014 Week: 26 rank,Profit %,2014 Week: 25 rank,Profit %,"August, 2014 rank",Profit %,"July, 2014 rank",Profit %,"June, 2014 rank",Profit %,"May, 2014 rank",Profit %,Year: 2014 rank,Profit %
100,TEXRAIL,3.74302,308,-0.954527,761,-10.1449,300,6.50538,801,-30.2652,108,11.342,751,-5.04098,81,5.51136,786,-26.8172,518,7.80969,8,71.7188,84,112.471
101,RAINBOWPAP,3.73281,773,-10.2579,402,-2.08333,734,-1.68604,233,-5.5,185,7.9394,501,0.302297,134,3.52941,555,-8.6747,632,3.42679,481,11.7275,656,5.6
102,SABTN,3.72295,123,1.92982,699,-7.43903,311,6.35514,59,0.709555,314,4.94012,575,-0.744787,207,1.52543,63,16.9643,772,-6.87733,167,29.4899,241,59.9466
103,BINDALAGRO,3.70968,709,-6.82853,715,-7.8125,172,9.0625,794,-21.4988,312,4.98688,593,-1.03226,250,0.62598,725,-16.8381,144,25.0404,456,12.7306,441,32.0329
104,OMKARCHEM,3.70915,297,-0.766974,277,-0.0729972,578,1.89098,152,-3.54504,378,3.66141,477,0.600962,99,4.59259,242,2.88425,725,-1.65385,629,2.89738,549,20.4264
105,PRISMCEM,3.61111,43,6.5967,218,1.07991,659,0.688705,131,-2.87921,712,-2.12201,154,6.92857,89,5.07042,489,-6.43274,139,25.6667,201,26.1702,32,168.829
106,TVTODAY,3.57143,128,1.89449,286,-0.185322,140,9.99164,433,-9.81343,492,1.79458,410,1.64063,7,18.1481,183,5.10753,791,-14.1967,342,17.7734,373,39.3013
107,BLUESTARCO,3.56644,428,-2.20414,490,-3.31628,346,5.72664,252,-5.86885,265,5.74254,492,0.399592,137,3.36766,365,-2.08688,555,6.45279,179,28.2381,145,85.8801
108,SUNTV,3.50618,270,-0.514707,735,-8.68743,564,2.09902,247,-5.81852,339,4.38509,245,4.62,216,1.25604,482,-6.09109,444,10.4573,498,10.4947,632,9.65211
109,BEML,3.46709,469,-2.6672,767,-10.8861,181,8.89184,576,-13.0824,734,-2.8875,347,2.6972,96,4.72786,762,-21.1875,193,20.6881,14,67.0761,28,174.065
110,VARDHACRLC,3.46666,250,-0.265258,492,-3.33333,760,-2.7569,643,-14.6341,295,5.29954,772,-6.60793,171,2.37466,648,-12.2402,269,16.4384,436,13.522,589,14.7929
111,HEG,3.27963,389,-1.82606,284,-0.170459,294,6.58634,611,-13.9175,352,4.1167,345,2.73871,221,1.14575,550,-8.49073,157,23.7609,626,3.06655,430,33.1932
112,JBFIND,3.17343,367,-1.62866,499,-3.39161,254,7.48273,75,-0.188395,331,4.58532,194,5.84525,113,4.01786,150,7.08036,446,10.389,140,32.3737,202,68.4337
113,SUVEN,3.09013,36,6.85373,451,-2.7027,274,7.06628,288,-6.43248,72,14.1667,661,-2.39796,101,4.57118,50,20.2988,337,13.9248,722,-3.98877,207,66.3435
114,MOTHERSUMI,3.08494,90,3.29622,713,-7.76661,292,6.60725,212,-4.98652,60,15.3281,443,1.09351,217,1.23115,97,12.0166,526,7.58129,351,17.149,111,98.4273
115,JPINFRATEC,3.06748,331,-1.21581,772,-11.4667,7,31.794,600,-13.7879,691,-1.64179,326,3.02547,98,4.6729,402,-3.38236,665,1.96672,143,32.3232,337,43.8972
116,NAVNETEDUL,3.01696,515,-3.17073,183,1.83599,354,5.52268,300,-6.72728,416,3.07017,722,-3.59537,272,0.183367,293,0.499378,606,4.48344,216,25.5195,389,38.1956
117,BEL,2.99839,461,-2.58611,453,-2.79459,441,4.11086,768,-19.3614,247,6.18018,284,3.88281,175,2.26857,734,-17.9967,78,32.7901,135,32.7937,178,73.7488
118,JINDALSTEL,2.939,672,-5.80043,570,-4.38893,333,6.05358,603,-13.8308,525,1.1838,490,0.43887,198,1.84026,701,-15.041,515,7.84018,380,15.9688,660,5.20913
119,BERGEPAINT,2.8701,335,-1.24958,214,1.14497,532,2.68798,149,-3.50848,410,3.2031,291,3.68613,95,4.76924,213,3.96605,250,17.4899,631,2.6971,409,35.5974
120,NIITTECH,2.84908,131,1.81199,545,-3.97772,800,-19.2937,32,3.01192,318,4.82798,426,1.40187,191,1.90413,710,-15.3371,395,12.2041,706,-2.56411,650,6.88547
121,ADHUNIK,2.82167,639,-5.10639,680,-6.89655,410,4.55508,327,-7.40384,569,0.575822,365,2.39044,180,2.13005,671,-13.4357,681,0.959693,265,21.9003,486,26.5278
122,TECHM,2.75352,454,-2.50469,160,2.38476,472,3.50244,172,-4.07357,641,-0.545245,199,5.75622,52,7.28676,306,0.0279115,420,11.4304,601,5.08197,565,18.626
123,TAJGVK,2.74612,185,0.765306,459,-2.86703,529,2.72634,130,-2.80281,91,12.9767,281,3.97591,340,-0.849998,193,4.71258,255,17.0524,252,22.7648,295,50.7985
124,BAJAJ-AUTO,2.74334,368,-1.63002,226,0.842456,755,-2.4696,340,-7.62121,604,0.0696315,187,5.92202,174,2.30735,604,-10.3264,225,18.9045,647,1.51175,621,10.7911
125,SRF,2.73038,126,1.9081,259,0.31386,283,6.78746,121,-2.36842,784,-6.94938,33,17.3386,122,3.7931,358,-1.82227,88,31.9903,413,14.7341,26,175.515
126,VOLTAS,2.72869,147,1.35494,757,-10.0,76,13.2317,621,-14.064,699,-1.82648,434,1.22543,94,4.79851,647,-12.2146,279,16.0149,330,18.1646,195,69.4385
127,NESTLEIND,2.6901,202,0.54591,120,3.89976,626,1.06451,74,-0.140028,546,0.891485,561,-0.469754,107,4.28447,211,4.00223,710,-0.432221,612,4.33228,693,1.38658
128,CONCOR,2.62678,511,-3.15084,338,-1.11295,516,2.96047,112,-1.9327,150,9.07803,620,-1.4419,275,0.150794,123,8.86361,538,6.84729,364,16.4115,170,75.5065
129,ZENSARTECH,2.58364,727,-7.34038,238,0.66797,569,2.02546,201,-4.77024,467,2.33751,147,7.1197,162,2.58364,406,-3.58123,233,18.4865,657,1.05104,563,19.0055
130,CYBERTECH,2.56411,76,3.90739,719,-7.89474,69,13.6564,493,-10.9091,88,13.2622,646,-1.98474,155,2.85714,224,3.58209,742,-3.23529,210,25.7874,255,56.5217
131,ROLTA,2.55803,279,-0.563122,526,-3.77868,398,4.75511,513,-11.431,270,5.61545,172,6.3163,150,2.94817,466,-5.61947,591,5.04437,70,43.1635,238,60.1331
132,GHCL,2.55144,52,5.72687,93,5.18518,227,7.93173,680,-15.5649,109,11.2782,639,-1.73834,170,2.38291,149,7.18182,163,23.496,303,19.6211,152,82.9662
133,EXCELINDUS,2.54011,636,-5.07653,118,3.92857,788,-6.93656,571,-12.9578,55,16.2063,15,21.4438,145,3.0914,265,1.59405,10,62.9545,60,44.5333,22,191.857
134,TCI,2.52626,472,-2.69069,382,-1.74082,443,4.06194,583,-13.2314,13,28.167,641,-1.8018,179,2.19396,136,8.25737,388,12.4658,204,26.0804,61,130.8
135,GODREJCP,2.50431,382,-1.78322,67,7.06359,677,0.125,85,-0.729389,692,-1.65349,484,0.512531,159,2.72987,199,4.40884,578,5.55023,720,-3.63501,704,-0.0405064
136,IBWSL,2.5,725,-7.27699,698,-7.39131,757,-2.6087,710,-16.4207,730,-2.65957,3,36.2745,301,-0.243305,788,-29.0493,97,30.047,522,9.39085,678,2.75689
137,ARCOTECH,2.41124,148,1.34645,150,2.8518,618,1.19873,30,3.17331,572,0.506946,128,8.12721,109,4.26205,134,8.29373,198,20.4528,650,1.4536,109,98.9368
138,PLETHICO,2.36813,641,-5.13089,745,-9.17969,331,6.08975,756,-18.6757,781,-5.81395,701,-3.07443,144,3.14534,737,-18.2456,44,41.0287,684,-1.18483,647,7.33634
139,GOLDBEES,2.33623,195,0.634146,390,-1.93697,724,-1.11619,47,1.55319,651,-0.793977,531,-0.044193,140,3.23392,357,-1.79091,617,4.27,776,-10.7893,717,-2.54141
140,APLLTD,2.33363,198,0.570654,369,-1.57224,168,9.1749,105,-1.62118,77,13.7665,677,-2.58123,349,-0.918366,29,29.0987,535,7.18599,791,-17.5585,236,61.0664
141,HAVELLS,2.32205,690,-6.39919,542,-3.93162,418,4.4568,65,0.222768,505,1.5326,164,6.53812,266,0.335595,270,1.36227,205,20.0225,613,4.10901,307,48.5472
142,HCL-INSYS,2.30979,726,-7.32323,61,7.60869,12,25.5993,723,-17.193,558,0.706215,44,14.4246,153,2.86886,353,-1.59363,467,9.62099,36,50.1654,7,255.189
143,HSIL,2.30291,486,-2.8073,595,-4.96094,237,7.82416,313,-7.05972,392,3.45888,791,-10.2711,131,3.59244,515,-7.30038,181,22.1934,62,44.4558,56,136.385
144,GRASIM,2.30082,437,-2.3535,362,-1.40695,457,3.78976,237,-5.55294,662,-1.01752,667,-2.42714,195,1.85353,492,-6.59955,520,7.79092,281,21.1166,555,19.8982
145,PRAJIND,2.24138,756,-8.66142,462,-2.89634,545,2.42757,505,-11.2892,719,-2.32876,207,5.3779,313,-0.503354,732,-17.4092,734,-2.22823,91,38.4181,447,30.7608
146,SHARONBIO,2.23684,30,7.74147,25,13.3009,505,3.14091,156,-3.68852,9,32.3177,723,-3.62473,130,3.6,4,56.2887,574,5.61674,679,-0.873357,798,-79.7998
147,AUROPHARMA,2.21515,120,2.09311,612,-5.35494,321,6.18876,462,-10.2857,445,2.74571,120,8.36988,178,2.20069,426,-4.0097,407,11.8433,383,15.8824,150,83.5197
148,WIPRO,2.20999,495,-2.92493,264,0.181802,715,-0.896741,60,0.701271,636,-0.400767,373,2.21869,240,0.744483,324,-0.638803,517,7.83501,699,-2.31571,719,-2.82802
149,HDIL,2.18103,86,3.41686,755,-9.90854,208,8.28238,584,-13.285,278,5.51583,136,7.7821,183,2.06971,553,-8.62069,441,10.5695,153,30.5036,177,74.0019
150,UNITECH,2.16536,651,-5.28302,516,-3.64299,183,8.78244,799,-24.0122,753,-3.80117,437,1.19048,121,3.8,781,-24.9263,212,19.6808,7,73.4375,199,69.0554
151,VINATIORGA,2.13687,497,-2.94445,135,3.48737,656,0.724856,115,-2.06647,535,1.02071,110,8.92157,90,5.05675,208,4.08956,194,20.6865,665,0.447682,128,93.4656
152,FCEL,2.1164,459,-2.5641,776,-12.0536,143,9.90099,6,10.1124,570,0.564963,265,4.29448,401,-1.53062,119,9.34065,443,10.4938,455,12.766,132,93.0
153,INFINITE,2.10526,262,-0.402139,740,-8.89231,123,10.9556,373,-8.35443,172,8.24496,248,4.58781,211,1.40477,207,4.11565,295,15.4864,721,-3.79985,571,17.6649
154,MANDHANA,2.06208,328,-1.18243,438,-2.5,666,0.356241,209,-4.9455,495,1.72163,401,1.79704,200,1.7161,385,-2.60995,633,3.4248,654,1.2931,679,2.71716
155,CLNINDIA,2.05846,493,-2.91614,733,-8.58434,170,9.13218,268,-6.0906,163,8.64535,371,2.26247,202,1.66016,467,-5.64385,156,23.8054,641,1.79549,443,31.33
156,LGBBROSLTD,2.03057,214,0.38549,319,-0.851789,754,-2.29671,631,-14.3551,801,-44.7056,25,18.9611,40,9.18224,800,-52.0285,30,46.8763,100,36.8862,191,69.9273
157,UBL,2.01828,282,-0.621944,461,-2.87868,584,1.76512,113,-1.98324,487,1.89959,393,1.90684,123,3.76967,284,0.952103,773,-6.91057,732,-5.05095,733,-6.10356
158,KANORICHEM,2.0,762,-9.05963,732,-8.49741,57,14.9165,545,-12.474,729,-2.54323,270,4.18502,264,0.368998,694,-14.6597,708,-0.105372,86,39.1045,293,51.1111
159,ZICOM,1.95652,174,0.970016,500,-3.41667,39,16.4851,549,-12.5417,299,5.17857,23,19.0155,156,2.85088,187,4.95454,89,31.725,214,25.6508,268,54.2763
160,SADBHAV,1.95448,436,-2.2972,679,-6.86937,37,17.2432,421,-9.55476,473,2.23618,422,1.48129,166,2.51244,229,3.3622,429,10.9791,141,32.3473,69,123.967
161,TEXMOPIPES,1.94805,638,-5.09554,700,-7.46269,440,4.11393,681,-15.5673,1,61.6379,375,2.20264,249,0.641022,58,17.603,19,56.8862,689,-1.7647,93,106.579
162,SJVN,1.9149,220,0.211861,152,2.78971,622,1.08696,271,-6.09756,512,1.44627,407,1.66667,393,-1.44032,351,-1.40845,685,0.607286,517,9.53438,610,12.178
163,STAR,1.89313,432,-2.22405,208,1.29003,467,3.58954,207,-4.85633,291,5.3645,179,6.14478,172,2.36197,163,6.05673,153,24.2521,723,-4.04608,146,85.3889
164,CESC,1.8626,190,0.716507,467,-2.94719,509,3.03602,704,-16.2306,65,14.7884,105,9.09853,126,3.6991,573,-9.15295,188,21.235,197,26.3567,343,42.8694
165,ZYDUSWELL,1.82371,460,-2.56664,115,4.17677,794,-9.16983,24,3.82353,256,5.90191,358,2.5,105,4.3704,301,0.263603,567,5.95775,617,3.74528,622,10.6321
166,MUTHOOTFIN,1.7971,224,0.0862034,678,-6.86535,195,8.58143,419,-9.52879,564,0.639316,591,-0.95795,160,2.7201,558,-8.71172,769,-6.64353,528,8.94898,227,62.5174
167,SHILPAMED,1.78369,58,5.16293,105,4.64446,549,2.38069,217,-5.10465,103,11.733,571,-0.652742,64,6.21783,62,17.0554,658,2.3647,754,-7.15065,129,93.4018
168,PIRPHYTO,1.77253,392,-1.85715,147,3.02115,669,0.302579,452,-10.0806,386,3.56653,538,-0.142855,139,3.29836,483,-6.11961,283,15.8863,736,-5.23649,372,39.4737
169,GRUH,1.75696,539,-3.46641,494,-3.34786,395,4.80885,29,3.2,697,-1.76179,532,-0.0496185,253,0.603136,222,3.67684,800,-43.5534,596,5.31437,762,-17.5889
170,KITEX,1.71363,113,2.34114,692,-7.21631,27,19.9359,249,-5.83793,298,5.21739,686,-2.75249,188,1.94657,76,15.0766,740,-2.73421,3,96.8195,15,221.807
171,ELGIEQUIP,1.6632,244,-0.165773,593,-4.88751,531,2.68949,94,-1.39387,286,5.40656,160,6.72727,209,1.45228,376,-2.29839,474,9.35673,387,15.8081,341,43.4018
172,BALAMINES,1.65944,748,-8.09523,201,1.43836,279,6.91729,450,-10.0734,25,21.9835,581,-0.818331,129,3.60294,121,9.17065,315,14.8113,327,18.3453,355,41.7505
173,GAL,1.63043,28,8.13953,39,10.0,113,11.4706,800,-24.0698,799,-12.1212,441,1.12245,204,1.63043,564,-8.88223,58,37.1901,795,-22.0408,185,71.875
174,NELCAST,1.61871,559,-3.69127,510,-3.5313,465,3.66667,641,-14.5588,695,-1.7341,790,-10.143,362,-1.05079,728,-16.9297,59,36.8,350,17.2018,382,38.8206
175,NAKODA,1.6,15,12.7273,794,-15.748,798,-13.3803,797,-22.6519,780,-5.78948,675,-2.5641,36,9.48275,794,-34.4086,754,-5.02513,742,-5.88235,783,-51.341
176,ONGC,1.59794,556,-3.65337,389,-1.93154,468,3.55701,311,-6.94151,541,0.933236,666,-2.4205,283,0.0126902,533,-7.84382,414,11.6264,389,15.6599,406,35.931
177,CADILAHC,1.58019,546,-3.5588,80,5.68012,777,-4.50311,55,0.923771,292,5.36019,266,4.24691,387,-1.32406,180,5.16819,288,15.703,725,-4.34292,416,34.4648
178,CASTROLIND,1.54079,188,0.740185,263,0.211347,399,4.74383,315,-7.12516,308,5.05806,389,1.97368,169,2.46951,241,2.94072,449,10.0678,685,-1.25839,611,12.0333
179,NOCIL,1.52174,306,-0.871463,186,1.79373,361,5.38642,746,-18.1467,500,1.62601,424,1.45833,138,3.31858,541,-8.13008,533,7.39131,215,25.6131,253,57.2391
180,APTECHT,1.51856,577,-3.92896,125,3.83333,377,5.15643,629,-14.3209,482,2.02224,317,3.21053,303,-0.276243,657,-12.5479,262,16.8585,333,18.0952,596,13.8801
181,JBMA,1.47771,92,3.24359,106,4.59984,71,13.64,508,-11.355,84,13.3333,482,0.523403,79,5.5814,49,21.0938,15,60.8523,208,25.9089,1,528.615
182,MUNJALSHOW,1.44979,150,1.34058,268,0.072536,205,8.36702,369,-8.29128,520,1.28572,298,3.53949,227,1.02112,288,0.744683,170,22.9473,246,23.1892,102,102.613
183,DABUR,1.43069,160,1.175,179,1.94076,680,0.0257748,54,1.04167,419,3.04172,626,-1.56084,244,0.710268,110,10.298,694,0.26738,608,4.69444,547,20.4805
184,APOLLOHOSP,1.41894,541,-3.47343,628,-5.6965,366,5.31008,122,-2.41003,188,7.83029,540,-0.163263,231,0.990051,260,1.82403,475,9.34615,642,1.76009,645,7.9447
185,EDL,1.36363,655,-5.32481,421,-2.31335,402,4.65632,399,-8.93204,338,4.41176,562,-0.490196,261,0.450444,717,-15.8685,185,21.4942,772,-9.71786,683,2.05949
186,GAEL,1.35417,624,-4.71976,82,5.60747,454,3.82096,744,-18.0357,14,27.5346,139,7.65371,279,0.102887,685,-14.1476,36,44.5225,460,12.6332,162,79.1897
187,WSTCSTPAPR,1.31004,705,-6.74438,365,-1.5,202,8.49732,494,-10.9873,683,-1.41288,652,-2.08013,158,2.74579,651,-12.2862,439,10.6713,412,14.7605,559,19.3416
188,ASHOKA,1.29819,702,-6.71533,763,-10.5195,137,10.1812,200,-4.7487,740,-3.22148,576,-0.753429,232,0.980392,702,-15.0931,470,9.51852,53,45.3513,89,110.033
189,MARUTI,1.25869,97,3.02789,307,-0.606039,590,1.71636,229,-5.44923,197,7.63967,350,2.62124,103,4.48606,243,2.86291,530,7.46036,299,19.8839,311,48.1695
190,FIEMIND,1.254,194,0.650492,134,3.51282,251,7.52728,95,-1.46018,332,4.54124,429,1.34639,176,2.26821,153,6.61062,141,25.5491,533,8.55667,161,79.5379
191,REPCOHOME,1.22941,227,0.0582819,673,-6.7793,448,3.92266,215,-5.07384,446,2.74106,208,5.34111,226,1.04191,498,-6.9181,383,12.6593,575,6.37745,509,24.6857
192,M&MFIN,1.19024,168,1.10878,670,-6.75781,411,4.5501,459,-10.2074,631,-0.329438,421,1.51739,92,4.9149,730,-17.0633,777,-7.67595,253,22.7356,770,-23.0013
193,FRL,1.17791,549,-3.5855,579,-4.58646,186,8.74588,510,-11.367,612,-0.0734147,275,4.11539,248,0.646467,531,-7.81422,448,10.1515,760,-8.19672,246,58.8648
194,BIL,1.15976,696,-6.52815,726,-8.06757,517,2.95328,92,-1.32527,754,-3.8128,201,5.64291,282,0.043009,497,-6.83238,90,31.3004,457,12.7223,134,92.7624
195,ARVIND,1.11062,152,1.32179,632,-5.84795,64,14.0842,721,-16.9388,281,5.45767,119,8.44579,252,0.618925,336,-1.02983,125,27.1071,670,-0.163936,208,65.5875
196,VIVIMEDLAB,1.06779,256,-0.34118,221,0.995877,375,5.19573,436,-9.87694,119,10.7032,355,2.52809,228,1.01643,252,2.28572,336,13.9503,682,-1.08527,243,59.5665
197,MAGMA,1.03896,613,-4.44445,485,-3.24803,153,9.66001,649,-14.7994,136,9.74619,141,7.39321,334,-0.765306,398,-3.32518,465,9.65817,335,18.0128,350,42.4908
198,COROMANDEL,0.987605,490,-2.87072,396,-2.03219,335,6.04255,381,-8.51923,711,-2.11106,638,-1.71168,259,0.522903,526,-7.73491,693,0.271586,371,16.2613,692,1.39241
199,SMARTLINK,0.923361,603,-4.33651,430,-2.36842,413,4.53704,388,-8.67004,494,1.74368,747,-4.74209,456,-2.41071,364,-2.04809,639,3.12779,395,15.4584,427,33.4554
200,AMTEKINDIA,0.869569,277,-0.552486,627,-5.64767,513,2.98826,326,-7.38867,252,5.96206,787,-9.5673,332,-0.74866,547,-8.4004,93,30.8101,717,-3.42599,328,44.8868
